target,score,binary_gold,graded_gold
acerbus,0.38707139587229755,0,0.1693673835
adsumo,0.5946100818790517,1,0.3426155432
ancilla,0.43548738115623864,0,0.0
beatus,0.6352622171373888,1,0.8163922034
civitas,0.5259424635523748,1,0.3223921129
cohors,0.4716976467440607,1,0.2808297773
consilium,0.31616552989216784,0,0.1029324115
consul,0.36960974667464297,1,0.1298862845
credo,0.35659240537932224,1,0.3709916364
dolus,0.552282553120068,1,0.1766816718
dubius,0.3903245671823361,1,0.3376228368
dux,0.453191341384268,1,0.2890535167
fidelis,0.5672087728268929,0,0.1704388616
honor,0.40662764233083704,0,0.2903727542
hostis,0.3103484229125332,0,0.0
humanitas,0.40773871278986007,1,0.4556706869
imperator,0.5836291342557738,1,0.8468161173
itero,0.5077169749023049,0,0.0396779613
jus,0.35649322686472384,1,0.3500992804
licet,0.4530174758739911,1,0.5068183365
necessarius,0.43304582856428786,0,0.0951901928
nepos,0.44126065724637686,1,0.3648834753
nobilitas,0.3625785479993322,0,0.1816060253
oportet,0.4335386298702393,0,0.1024923185
poena,0.46587384756374683,0,0.2309060175
pontifex,0.593555683625508,1,0.9056003337
potestas,0.4012810405278133,1,0.5484747156
regnum,0.4592105310138406,1,0.3555745686
sacramentum,0.6761252186399598,1,0.6880403726
salus,0.4563187060133662,0,0.4695031831
sanctus,0.6983310897138697,1,0.4252031494
sapientia,0.42361768480557926,0,0.2346805855
scriptura,0.4763643944705045,1,0.5166518174
senatus,0.3747825175959084,1,0.2647726983
sensus,0.3797298366066386,1,0.393509813
simplex,0.47314036466729725,0,0.0095403039
templum,0.4342348693242424,1,0.3701840194
titulus,0.5812791170127551,1,0.6197974828
virtus,0.36675889441055076,1,0.3971100156
voluntas,0.418272513512844,1,0.1447367667
