target,score,binary_gold,graded_gold,period1_occurrences,period2_occurrences,sampled_occurrences,matched_pairs
acerbus,0.027215783760465424,,0.1693673835,145,341,145,145
adsumo,0.025714136305309478,,0.3426155432,42,276,42,42
ancilla,0.041761993120114006,,0.0,96,488,96,96
beatus,0.031168263515777138,,0.8163922034,338,2738,338,338
civitas,0.023317154663175667,,0.3223921129,1658,6063,1658,1658
cohors,0.0227058611784604,,0.2808297773,291,1010,291,291
consilium,0.028428866260743996,,0.1029324115,1753,4669,1753,1753
consul,0.03588136999457595,,0.1298862845,3956,2488,2488,2488
credo,0.036583209189318,,0.3709916364,1652,8524,1652,1652
dolus,0.031534981615138506,,0.1766816718,106,647,106,106
dubius,0.022564677597521593,,0.3376228368,417,1992,417,417
dux,0.02553220249671304,,0.2890535167,905,4838,905,905
fidelis,0.023292995343996783,,0.1704388616,127,2642,127,127
honor,0.04437997179401098,,0.2903727542,877,4842,877,877
hostis,0.018406884454011996,,0.0,3043,5848,3043,3043
humanitas,0.029226713436694186,,0.4556706869,121,533,121,121
imperator,0.06470732883429428,,0.8468161173,717,10594,717,717
itero,0.03904321603477001,,0.0396779613,32,242,32,32
jus,0.04473660583745158,,0.3500992804,1187,6548,1187,1187
licet,0.04217765333989984,,0.5068183365,876,5924,876,876
necessarius,0.02329021617955995,,0.0951901928,401,2893,401,401
nepos,0.029805316644556382,,0.3648834753,68,1144,68,68
nobilitas,0.025517196787728205,,0.1816060253,180,637,180,180
oportet,0.035084578326242705,,0.1024923185,1259,3281,1259,1259
poena,0.0366166014638212,,0.2309060175,432,3689,432,432
pontifex,0.02790552063992149,,0.9056003337,133,1415,133,133
potestas,0.023280911667402402,,0.5484747156,903,3780,903,903
regnum,0.03218408556360947,,0.3555745686,684,6768,684,684
sacramentum,0.027231119573116302,,0.6880403726,40,1636,40,40
salus,0.023963674176030042,,0.4695031831,656,3352,656,656
sanctus,0.09634611389254996,,0.4252031494,181,9525,181,181
sapientia,0.03718871511890247,,0.2346805855,301,2354,301,301
scriptura,0.032270181179046634,,0.5166518174,25,1477,25,25
senatus,0.014264050117969945,,0.2647726983,2592,2206,2206,2206
sensus,0.019217574120687208,,0.393509813,426,3418,426,426
simplex,0.031578252852802545,,0.0095403039,142,2070,142,142
templum,0.017232892947776295,,0.3701840194,428,2854,428,428
titulus,0.03443873988257514,,0.6197974828,45,1505,45,45
virtus,0.019451302275172534,,0.3971100156,1612,5162,1612,1612
voluntas,0.0245454854992562,,0.1447367667,523,3038,523,523
