target,score,amd_p1_to_p2,amd_p2_to_p1,binary_gold,graded_gold,period1_occurrences,period2_occurrences
attack_nn,0.03464656192217143,0.03251846804174363,0.036774655802599227,1.0,0.1439699927,245,367
bag_nn,0.06152123194561407,0.0636265935201794,0.059415870371048736,0.0,0.1003636619,14,22
ball_nn,0.056543323973175665,0.03950298461500433,0.073583663331347,0.0,0.4093665525,7,32
bit_nn,0.033087715094318376,0.031176924385947352,0.03499850580268939,1.0,0.3065766263,45,454
chairman_nn,0.023044362247418383,0.02443168620583802,0.02165703828899874,0.0,0.0,5,5
circle_vb,0.025260497621054114,0.026082640772370158,0.02443835446973807,1.0,0.1710871199,523,515
edge_nn,0.06084365350583919,0.05794864679673594,0.06373866021494243,1.0,0.2609655868,21,73
face_nn,0.042055040990093356,0.03594117331981849,0.048168908660368215,0.0,0.137791275,205,1114
graft_nn,0.04013791708452869,0.04176996315698579,0.03850587101207159,1.0,0.5539755971,31,18
head_nn,0.04998867196485048,0.04790545454029681,0.05207188938940416,1.0,0.2952561247,150,833
land_nn,0.038133467213369826,0.036248487891621085,0.04001844653511857,1.0,0.2234476353,260,422
lane_nn,0.040569669836299976,0.03586891939522979,0.04527042027737016,0.0,0.1037200629,2,3
part_nn,0.03547211354699009,0.03946775019546666,0.031476476898513524,0.0,0.161270809,953,434
pin_vb,0.043179100803189124,0.04116675690157396,0.04519144470480428,0.0,0.2072118595,74,128
plane_nn,0.0652802550625701,0.04894846327996197,0.08161204684517824,1.0,0.8823475834,4,12
prop_nn,0.0673301815329808,0.060471272488781404,0.0741890905771802,1.0,0.624759971,20,108
quilt_nn,0.03265615715564618,0.033013966086294866,0.0322983482249975,0.0,0.1231453661,10,10
rag_nn,0.10562972086764329,0.10621180169283889,0.10504764004244768,1.0,0.2765152931,2,4
record_nn,0.04525452766195768,0.044671471056866176,0.04583758426704918,1.0,0.4273504707,252,273
risk_nn,0.038275822614086116,0.03391107757412168,0.04264056765405056,0.0,0.0,82,168
savage_nn,0.025947682013763202,0.02683546193028817,0.025059902097238233,0.0,0.0968689424,300,74
stab_nn,0.04872932118656069,0.04636890383940967,0.0510897385337117,1.0,0.4005896829,48,82
stroke_vb,0.04733718050146038,0.047348713628703056,0.0473256473742177,0.0,0.1762311532,178,190
thump_nn,0.03541441982303399,0.031123024325555144,0.03970581532051284,1.0,0.1429915711,16,56
tip_vb,0.04948554406184269,0.04098922695413069,0.057981861169554685,1.0,0.6788987615,31,284
tree_nn,0.09274337742028527,0.08403688670891535,0.10144986813165519,0.0,0.070838721,2,2
twist_nn,0.04302471722840799,0.03959571063854524,0.046453723818270745,0.0,0.3984926634,113,329
word_nn,0.0605403929362481,0.06653007649952603,0.05455070937297017,0.0,0.1793071623,28,11
