target,score,binary_gold,graded_gold
abbauen,0.6661718873802747,1,0.7401151347
abdecken,0.6478133634226761,1,0.6068844591
abgebrüht,0.6483451760250909,0,0.8326453924
Abgesang,0.6913324354726258,1,0.5785479359
Ackergerät,0.40964103810594,0,0.0
Armenhaus,0.6065486674161706,0,0.5196696949
artikulieren,0.6836099541066214,1,0.6157433577
aufrechterhalten,0.4930834461175081,0,0.0361091146
Ausnahmegesetz,0.34130375243494326,0,0.0931384151
ausspannen,0.6748364309084733,1,0.7066899149
beimischen,0.3994034877973054,0,0.3073585686
Dynamik,0.4780508797417832,1,0.5788446287
Einreichung,0.3349094328262564,0,0.0
Eintagsfliege,0.8225702922505115,0,0.6600603105
Engpaß,0.9055990725850895,1,0.8199567418
Entscheidung,0.4046565943465781,0,0.1416813614
Festspiel,0.49513921603705846,0,0.1003636619
Frechheit,0.3070334691976965,0,0.070838721
Fuß,0.4982852012905922,0,0.5646330712
Gesichtsausdruck,0.3701150910732338,0,0.0773181227
Knotenpunkt,0.6182523122455953,1,0.6476267431
Kubikmeter,0.3715515967384976,0,0.0
Lyzeum,0.47929241480654317,0,0.1263811851
Manschette,0.4231651704930489,1,0.3558015707
Mißklang,0.4669317041585106,1,0.3797233207
Mulatte,0.638305064506124,0,0.0
Naturschönheit,0.4798226562134421,0,0.071560565
Ohrwurm,0.9520925420249456,1,0.8324505396
Pachtzins,0.282450098058145,0,0.0
packen,0.4380779652379887,1,0.4622525393
Rezeption,0.6220756854897205,1,0.4649888284
Schmiere,0.585474484999178,1,0.4376712892
Seminar,0.5326107205251926,0,0.0644862175
Sensation,0.7126739499512615,1,0.4061442791
Spielball,0.35184816872227576,0,0.1032900719
Tier,0.4024209336332246,0,0.0734663698
Titel,0.5869422096283293,0,0.3930452262
Tragfähigkeit,0.31727039464083806,0,0.1146939033
Truppenteil,0.4963201765317251,0,0.0
überspannen,0.4880711984782966,1,0.2520655248
Unentschlossenheit,0.29532913795442417,0,0.0
verbauen,0.5635932075010371,1,0.5781250765
vergönnen,0.3860319636481181,0,0.0711968986
voranstellen,0.4979089625557822,0,0.1241915484
vorliegen,0.4178050254652186,0,0.1902660258
vorweisen,0.5245463128181016,0,0.1268370977
weitgreifend,0.3167715918229751,0,0.0
zersetzen,0.48405644145839066,0,0.5058797106
