target,score,amd_p1_to_p2,amd_p2_to_p1,binary_gold,graded_gold,period1_occurrences,period2_occurrences
aktiv,0.04421776255624063,0.04281386584580042,0.045621659266680846,0.0,0.087075209,119,1413
annandag,0.017513288571240217,0.015964129003092683,0.019062448139387754,0.0,0.070838721,749,2015
antyda,0.024835002385578113,0.023054244961023408,0.026615759810132814,0.0,0.1432248866,2963,3633
bearbeta,0.026332728107399037,0.024334069441439073,0.028331386773359002,0.0,0.2435567709,246,1628
bedömande,0.021045261650260324,0.018830280705999573,0.023260242594521075,0.0,0.0004433847,121,1393
beredning,0.025064044257170473,0.02408994497235962,0.026038143541981328,0.0,0.2637097458,740,1922
blockera,0.020193681564845162,0.021192978748645012,0.019194384381045308,0.0,0.1595695865,723,235
bolagsstämma,0.007881107954985802,0.007631259861607462,0.008130956048364142,0.0,0.0,1190,11933
bröllop,0.021496952085573555,0.019301348193432388,0.02369255597771472,0.0,0.070838721,253,4644
by,0.026590767862834243,0.02691429273459615,0.026267242991072335,0.0,0.0746856336,6571,14481
central,0.042728892686712344,0.035543470581809865,0.04991431479161483,0.0,0.1224274985,122,3958
färg,0.023609782037097266,0.023191951688007664,0.02402761238618687,0.0,0.1634208723,6840,14534
förhandling,0.02120068126767303,0.017336820824634405,0.025064541710711652,0.0,0.0022177463,93,8692
gagn,0.041946336801444786,0.04076744497520877,0.043125228627680805,0.0,0.0711968986,840,3632
granskare,0.021996387343466192,0.023075091599603668,0.02091768308732872,1.0,0.3196119552,199,89
kemisk,0.019444971290523798,0.016070525100115682,0.022819417480931914,0.0,0.1009077432,106,3781
kokärt,0.026950210289195593,0.02925774360955018,0.024642676968841003,0.0,0.0,166,180
konduktör,0.018185578540844422,0.015901410094788366,0.02046974698690048,1.0,0.2476350962,97,1831
krita,0.026573957740564653,0.025590921229760193,0.027556994251369118,1.0,0.4427643573,456,371
ledning,0.025380281465547966,0.02246296863927559,0.028297594291820344,1.0,0.3378682202,1317,12988
medium,0.05539644849535727,0.057479226189486636,0.0533136708012279,1.0,0.6035538174,686,500
motiv,0.039794700686303294,0.03465580269343389,0.0449335986791727,1.0,0.3530276962,143,2619
notis,0.02287149872644153,0.01982195529174023,0.025921042161142827,0.0,0.2122130677,234,4563
studie,0.030598060684631875,0.028829915233872957,0.03236620613539079,0.0,0.0704426316,879,3670
undertrycka,0.01947130135088291,0.017868925850176045,0.021073676851589777,0.0,0.1667465563,244,1614
uppfattning,0.038557108062476864,0.03087237832448044,0.046241837800473286,1.0,0.1954346065,81,8811
uppfostran,0.015075680562066329,0.01475872739411158,0.015392633730021076,0.0,0.0,4965,3330
uppläggning,0.030163415166605534,0.030306988583951894,0.03001984174925917,1.0,0.2930397585,160,195
uträtta,0.017133458836023054,0.016723102971525884,0.017543814700520226,0.0,0.0,2779,3687
vaktmästare,0.014138781557392592,0.012115704712441739,0.016161858402343444,0.0,0.0,160,2621
vegetation,0.020086084896768518,0.01854081902396258,0.021631350769574457,0.0,0.0,155,309
