target,word2vec_score,bert_score,combined_score,binary_gold,graded_gold
aktiv,0.5145076889206128,0.05886707290390569,0.030287561633309746,0,0.087075209
annandag,0.42601488847148283,0.01244409408519298,0.005301369353832127,0,0.070838721
antyda,0.7675180627218603,0.026758173872311275,0.020537381772451048,0,0.1432248866
bearbeta,0.6300109363787685,0.02287273920421895,0.01441007584359735,0,0.2435567709
bedömande,0.4913679830209121,0.015961401838238243,0.007842921827441405,0,0.0004433847
beredning,0.5809620736444971,0.011976406736642353,0.006957838092529666,0,0.2637097458
blockera,0.3952845368599014,0.035727470248403836,0.014122516530316216,0,0.1595695865
bolagsstämma,0.41200901334745776,0.03496933274776004,0.014407680282823559,0,0.0
bröllop,0.5621583184280571,0.013587514951786006,0.007638334556912104,0,0.070838721
by,0.32031365880936935,0.013557460760184381,0.004342639860259113,0,0.0746856336
central,0.681917709390301,0.04834988343327884,0.032970641760109574,0,0.1224274985
färg,0.39433449860781467,0.02438251192870966,0.009614865616206784,0,0.1634208723
förhandling,0.5130609478445236,0.016825333663761377,0.008632421637329784,0,0.0022177463
gagn,0.4046115299891543,0.08177612631547027,0.03308756358508877,0,0.0711968986
granskare,0.46501716005968163,0.0249920546865654,0.0116217342944029,1,0.3196119552
kemisk,0.5656194452056107,0.08124036660869849,0.04595113108951246,0,0.1009077432
kokärt,0.3185591172374673,0.04108327330000172,0.013087451275674159,0,0.0
konduktör,0.7747862492317369,0.014596153143018764,0.011308898746891536,1,0.2476350962
krita,0.5907064420282031,0.044752562260422124,0.02643562682449959,1,0.4427643573
ledning,0.49793050444663145,0.03124695148783163,0.015558810316755425,1,0.3378682202
medium,0.7026553522601311,0.02480982131189613,0.017432753733421284,1,0.6035538174
motiv,0.5305504093750293,0.03052915973303838,0.016197258194239172,1,0.3530276962
notis,0.48512002112518393,0.013625449265755707,0.006609978235643531,0,0.2122130677
studie,0.3663259583492714,0.04846935342770309,0.017755582344972876,0,0.0704426316
undertrycka,0.455000412285097,0.00844862148648462,0.003844126259591231,0,0.1667465563
uppfattning,0.4888713941987862,0.07131347582035175,0.03486311834945679,1,0.1954346065
uppfostran,0.43507425749030426,0.03536576893558285,0.015386735660222377,0,0.0
uppläggning,0.589114332982978,0.021002913583512473,0.012373117426450078,1,0.2930397585
uträtta,0.44361423428401636,0.01140591800353774,0.005059827581445671,0,0.0
vaktmästare,0.4700867254439385,0.01120415659258056,0.005266925283967311,0,0.0
vegetation,0.38088763708339834,0.022564101354646593,0.008594387247881648,0,0.0
