target,score,binary_gold,graded_gold,period1_occurrences,period2_occurrences
aktiv,0.07874938438885379,0.0,0.087075209,119,1447
annandag,0.031172685706680685,0.0,0.070838721,750,2025
antyda,0.11011789294245664,0.0,0.1432248866,2968,3640
bearbeta,0.02908461034226173,0.0,0.2435567709,246,1640
bedömande,0.032078418743982096,0.0,0.0004433847,122,1412
beredning,0.047956330101449694,0.0,0.2637097458,750,2046
blockera,0.008370282777097698,0.0,0.1595695865,728,235
bolagsstämma,0.04673197695171781,0.0,0.0,1239,12461
bröllop,0.02999472521012893,0.0,0.070838721,255,4696
by,0.011208591810255951,0.0,0.0746856336,6846,15309
central,0.18998401819534294,0.0,0.1224274985,122,3979
färg,0.0767101722717673,0.0,0.1634208723,6984,14975
förhandling,0.0016325230180629301,0.0,0.0022177463,93,9028
gagn,0.05330327943739685,0.0,0.0711968986,843,3652
granskare,0.005924012421132438,1.0,0.3196119552,206,89
kemisk,0.08087753065028191,0.0,0.1009077432,106,3891
kokärt,0.20321053712929116,0.0,0.0,166,197
konduktör,0.10198067907494837,1.0,0.2476350962,101,1889
krita,0.0669847134594129,1.0,0.4427643573,468,375
ledning,0.05844082213892265,1.0,0.3378682202,1320,13282
medium,0.1402744886804552,1.0,0.6035538174,691,517
motiv,0.036225774465871406,1.0,0.3530276962,143,2698
notis,0.019523122434612492,0.0,0.2122130677,235,4691
studie,0.03430969301659586,0.0,0.0704426316,890,3712
undertrycka,0.03160027493297831,0.0,0.1667465563,245,1619
uppfattning,0.07372862193283371,1.0,0.1954346065,81,8968
uppfostran,0.04257291029049421,0.0,0.0,5015,3380
uppläggning,0.10052717955322288,1.0,0.2930397585,162,195
uträtta,0.013221013644725794,0.0,0.0,2802,3734
vaktmästare,0.0531251376555279,0.0,0.0,161,2674
vegetation,0.0302136122278406,0.0,0.0,155,312
