target,score,binary_gold,graded_gold,period1_occurrences,period2_occurrences,sampled_occurrences,matched_pairs
aktiv,0.0678144503040474,,0.087075209,119,1447,119,119
annandag,0.02641609764099121,,0.070838721,750,2025,750,750
antyda,0.04097936055409619,,0.1432248866,2968,3640,2968,2968
bearbeta,0.03569572364411703,,0.2435567709,246,1640,246,246
bedömande,0.03114116973564273,,0.0004433847,122,1412,122,122
beredning,0.03827622135480245,,0.2637097458,750,2046,750,750
blockera,0.027090305977679315,,0.1595695865,728,235,235,235
bolagsstämma,0.013095550136858654,,0.0,1239,12461,1239,1239
bröllop,0.03151727564194623,,0.070838721,255,4696,255,255
by,0.037444682043614945,,0.0746856336,6846,15309,6846,6846
central,0.06176322894018205,,0.1224274985,122,3979,122,122
färg,0.039333215548751826,,0.1634208723,6984,14975,6984,6984
förhandling,0.031045631054908998,,0.0022177463,93,9028,93,93
gagn,0.06506676033298316,,0.0711968986,843,3652,843,843
granskare,0.029923001701912182,,0.3196119552,206,89,89,89
kemisk,0.029349534016735148,,0.1009077432,106,3891,106,106
kokärt,0.045904887009816,,0.0,166,197,166,166
konduktör,0.026499443715161615,,0.2476350962,101,1889,101,101
krita,0.03523110246658325,,0.4427643573,468,375,375,375
ledning,0.04113169357632146,,0.3378682202,1320,13282,1320,1320
medium,0.08249250117768632,,0.6035538174,691,517,517,517
motiv,0.056925886577659554,,0.3530276962,143,2698,143,143
notis,0.032428777471501774,,0.2122130677,235,4691,235,235
studie,0.043987899282005395,,0.0704426316,890,3712,890,890
undertrycka,0.028150020083602595,,0.1667465563,245,1619,245,245
uppfattning,0.06360415617624919,,0.1954346065,81,8968,81,81
uppfostran,0.021520453197716255,,0.0,5015,3380,3380,3380
uppläggning,0.040094609613771794,,0.2930397585,162,195,162,162
uträtta,0.023190191160517876,,0.0,2802,3734,2802,2802
vaktmästare,0.02162446035361438,,0.0,161,2674,161,161
vegetation,0.027029741194940383,,0.0,155,312,155,155
