target,score,binary_gold,graded_gold,period1_occurrences,period2_occurrences
acerbus,0.0037420905363755555,0.0,0.1693673835,145,341
adsumo,0.006091706571562767,1.0,0.3426155432,42,276
ancilla,0.0525873792654151,0.0,0.0,96,488
beatus,0.09783057969714075,1.0,0.8163922034,338,2738
civitas,0.007289024209028084,1.0,0.3223921129,1658,6063
cohors,0.001386830637299145,1.0,0.2808297773,291,1010
consilium,0.0011874308622641034,0.0,0.1029324115,1753,4669
consul,0.00479807505237391,1.0,0.1298862845,3956,2488
credo,0.00439478543571095,1.0,0.3709916364,1652,8524
dolus,0.006575204838524598,1.0,0.1766816718,106,647
dubius,0.008953960850593254,1.0,0.3376228368,417,1992
dux,0.011036022375166274,1.0,0.2890535167,905,4838
fidelis,0.007876279544701301,0.0,0.1704388616,127,2642
honor,0.014252851164607946,0.0,0.2903727542,877,4842
hostis,0.0039209266105051975,0.0,0.0,3043,5848
humanitas,0.007863307395031778,1.0,0.4556706869,121,533
imperator,0.2970474413708436,1.0,0.8468161173,717,10594
itero,0.016766548909251413,0.0,0.0396779613,32,242
jus,0.004376604508689224,1.0,0.3500992804,1187,6548
licet,0.045770279322914206,1.0,0.5068183365,876,5924
necessarius,0.00015504689329076505,0.0,0.0951901928,401,2893
nepos,0.005239024178164651,1.0,0.3648834753,68,1144
nobilitas,0.0030610816626614763,0.0,0.1816060253,180,637
oportet,0.0019473556593827372,0.0,0.1024923185,1259,3281
poena,0.002265276946160237,0.0,0.2309060175,432,3689
pontifex,0.0293445889566212,1.0,0.9056003337,133,1415
potestas,0.01047960693703207,1.0,0.5484747156,903,3780
regnum,0.0049634363312875554,1.0,0.3555745686,684,6768
sacramentum,0.059866427665561495,1.0,0.6880403726,40,1636
salus,0.004883254758955016,0.0,0.4695031831,656,3352
sanctus,0.016187296548475585,1.0,0.4252031494,181,9525
sapientia,0.017215681877570575,0.0,0.2346805855,301,2354
scriptura,0.014645270393991367,1.0,0.5166518174,25,1477
senatus,0.0006663551687927212,1.0,0.2647726983,2592,2206
sensus,0.0073606291941322845,1.0,0.393509813,426,3418
simplex,0.002545628694355486,0.0,0.0095403039,142,2070
templum,0.008095954863910274,1.0,0.3701840194,428,2854
titulus,0.038977613472736025,1.0,0.6197974828,45,1505
virtus,0.00285868515920421,1.0,0.3971100156,1612,5162
voluntas,0.0034492700128680043,1.0,0.1447367667,523,3038
