target,score,binary_gold,graded_gold,period1_occurrences,period2_occurrences
abbauen,0.22027750847093036,1.0,0.7401151347,61,1178
abdecken,0.2529894204437043,1.0,0.6068844591,52,366
abgebrüht,0.4956216300923478,0.0,0.8326453924,63,105
Abgesang,0.16979964350620183,1.0,0.5785479359,130,113
Ackergerät,0.01685326613936019,0.0,0.0,53,106
Armenhaus,0.09487210064503775,0.0,0.5196696949,100,126
artikulieren,0.07044215018695102,1.0,0.6157433577,59,220
aufrechterhalten,0.031589527233414814,0.0,0.0361091146,39,1170
Ausnahmegesetz,0.010262041289337647,0.0,0.0931384151,58,170
ausspannen,0.21529616556110154,1.0,0.7066899149,265,129
beimischen,0.06040726725023133,0.0,0.3073585686,251,120
Dynamik,0.062198057108875285,1.0,0.5788446287,58,678
Einreichung,0.016202051969867418,0.0,0.0,58,140
Eintagsfliege,0.1770803986652431,0.0,0.6600603105,57,137
Engpaß,0.07860756692430339,1.0,0.8199567418,82,301
Entscheidung,0.032946031967581745,0.0,0.1416813614,3958,8561
Festspiel,0.09058329991629854,0.0,0.1003636619,48,704
Frechheit,0.041794395029026814,0.0,0.070838721,358,212
Fuß,0.1831685287882399,0.0,0.5646330712,30495,3714
Gesichtsausdruck,0.013923737290394143,0.0,0.0773181227,100,157
Knotenpunkt,0.15918787793951802,1.0,0.6476267431,354,215
Kubikmeter,0.052380585586999116,0.0,0.0,123,1903
Lyzeum,0.05511458340800443,0.0,0.1263811851,104,118
Manschette,0.019525350128153516,1.0,0.3558015707,75,125
Mißklang,0.10973163215806352,1.0,0.3797233207,53,107
Mulatte,0.1384629784933508,0.0,0.0,139,116
Naturschönheit,0.025975283794140158,0.0,0.071560565,98,130
Ohrwurm,0.18392352783701443,1.0,0.8324505396,37,103
Pachtzins,0.04149735569663037,0.0,0.0,39,103
packen,0.02545484389339785,1.0,0.4622525393,1792,1394
Rezeption,0.1293324436761851,1.0,0.4649888284,98,152
Schmiere,0.10258890050099692,1.0,0.4376712892,108,118
Seminar,0.11247673985218547,0.0,0.0644862175,190,1972
Sensation,0.06745967569452482,1.0,0.4061442791,169,637
Spielball,0.05417467295628103,0.0,0.1032900719,59,176
Tier,0.010751592026335837,0.0,0.0734663698,30361,4286
Titel,0.047699112931628505,0.0,0.3930452262,3556,8622
Tragfähigkeit,0.06293780113930236,0.0,0.1146939033,82,325
Truppenteil,0.03392790872606685,0.0,0.0,168,628
überspannen,0.0836393280722287,1.0,0.2520655248,151,194
Unentschlossenheit,0.03016125863461046,0.0,0.0,76,129
verbauen,0.12891809562693549,1.0,0.5781250765,67,209
vergönnen,0.03825651045534416,0.0,0.0711968986,702,205
voranstellen,0.019486469746423884,0.0,0.1241915484,154,194
vorliegen,0.05714693041916337,0.0,0.1902660258,1843,1436
vorweisen,0.044456495404018824,0.0,0.1268370977,67,371
weitgreifend,0.01855518345792005,0.0,0.0,64,103
zersetzen,0.1993176477675857,0.0,0.5058797106,677,212
