target,score,binary_gold,graded_gold
aktiv,0.5145076889206128,0,0.087075209
annandag,0.42601488847148283,0,0.070838721
antyda,0.7675180627218603,0,0.1432248866
bearbeta,0.6300109363787685,0,0.2435567709
bedömande,0.4913679830209121,0,0.0004433847
beredning,0.5809620736444971,0,0.2637097458
blockera,0.3952845368599014,0,0.1595695865
bolagsstämma,0.41200901334745776,0,0.0
bröllop,0.5621583184280571,0,0.070838721
by,0.32031365880936935,0,0.0746856336
central,0.681917709390301,0,0.1224274985
färg,0.39433449860781467,0,0.1634208723
förhandling,0.5130609478445236,0,0.0022177463
gagn,0.4046115299891543,0,0.0711968986
granskare,0.46501716005968163,1,0.3196119552
kemisk,0.5656194452056107,0,0.1009077432
kokärt,0.3185591172374673,0,0.0
konduktör,0.7747862492317369,1,0.2476350962
krita,0.5907064420282031,1,0.4427643573
ledning,0.49793050444663145,1,0.3378682202
medium,0.7026553522601311,1,0.6035538174
motiv,0.5305504093750293,1,0.3530276962
notis,0.48512002112518393,0,0.2122130677
studie,0.3663259583492714,0,0.0704426316
undertrycka,0.455000412285097,0,0.1667465563
uppfattning,0.4888713941987862,1,0.1954346065
uppfostran,0.43507425749030426,0,0.0
uppläggning,0.589114332982978,1,0.2930397585
uträtta,0.44361423428401636,0,0.0
vaktmästare,0.4700867254439385,0,0.0
vegetation,0.38088763708339834,0,0.0
