target,word2vec_score,bert_score,combined_score,binary_gold,graded_gold
acerbus,0.38707139587229755,0.0022076054852566696,0.0008545009367136399,0,0.1693673835
adsumo,0.5946100818790517,0.00532035322592872,0.003163535667294953,1,0.3426155432
ancilla,0.43548738115623864,0.007925578934945166,0.003451489614526321,0,0.0
beatus,0.6352622171373888,0.019562315591607038,0.012427199975065598,1,0.8163922034
civitas,0.5259424635523748,0.0032027230820836916,0.0016844480678671516,1,0.3223921129
cohors,0.4716976467440607,0.004878043181672176,0.0023009614895106757,1,0.2808297773
consilium,0.31616552989216784,0.0015134781333200342,0.0004785096160013377,0,0.1029324115
consul,0.36960974667464297,0.0016898538529335205,0.0006245864544999279,1,0.1298862845
credo,0.35659240537932224,0.00145916991811057,0.0005203289109561968,1,0.3709916364
dolus,0.552282553120068,0.002399648457435899,0.0013252839766633312,1,0.1766816718
dubius,0.3903245671823361,0.002144301031950624,0.0008369733722047639,1,0.3376228368
dux,0.453191341384268,0.0026250123841454753,0.0011896328835212034,1,0.2890535167
fidelis,0.5672087728268929,0.008016456965457608,0.0045470047177968076,0,0.1704388616
honor,0.40662764233083704,0.005078328726614401,0.0020649888370841757,0,0.2903727542
hostis,0.3103484229125332,0.001401021896494048,0.0004348049360428541,0,0.0
humanitas,0.40773871278986007,0.0032284145532547326,0.0013163495942961358,1,0.4556706869
imperator,0.5836291342557738,0.08760003792796811,0.051125934296672976,1,0.8468161173
itero,0.5077169749023049,0.006327814860931258,0.0032127390189338675,0,0.0396779613
jus,0.35649322686472384,0.0029931968005668663,0.0010670543860752495,1,0.3500992804
licet,0.4530174758739911,0.0032609026436082322,0.0014772458846782262,1,0.5068183365
necessarius,0.43304582856428786,0.0009752835099413604,0.0004223424556476433,0,0.0951901928
nepos,0.44126065724637686,0.005073411714387688,0.0022386969875721786,1,0.3648834753
nobilitas,0.3625785479993322,0.001576010421518892,0.0005714275702661353,0,0.1816060253
oportet,0.4335386298702393,0.0027260906491146653,0.0011818656049192432,0,0.1024923185
poena,0.46587384756374683,0.0013674146519305763,0.0006370427251099392,0,0.2309060175
pontifex,0.593555683625508,0.014420516270998829,0.008559379393465471,1,0.9056003337
potestas,0.4012810405278133,0.0022699952259412903,0.0009109060462588897,1,0.5484747156
regnum,0.4592105310138406,0.0014779681305567838,0.0006786985300545139,1,0.3555745686
sacramentum,0.6761252186399598,0.011659207772729552,0.007883084404505487,1,0.6880403726
salus,0.4563187060133662,0.003122374155882568,0.00142479773450191,0,0.4695031831
sanctus,0.6983310897138697,0.013379208911784679,0.009343117538876112,1,0.4252031494
sapientia,0.42361768480557926,0.0027155412611883367,0.001150351302058626,0,0.2346805855
scriptura,0.4763643944705045,0.012751257261302884,0.006074244944018172,1,0.5166518174
senatus,0.3747825175959084,0.0013251836794397898,0.0004966556756574536,1,0.2647726983
sensus,0.3797298366066386,0.0013913299699267467,0.000528329502146203,1,0.393509813
simplex,0.47314036466729725,0.00155698246153535,0.0007366712496314216,0,0.0095403039
templum,0.4342348693242424,0.002259218544726882,0.0009810314695443826,1,0.3701840194
titulus,0.5812791170127551,0.006323465282416452,0.0036756983158238474,1,0.6197974828
virtus,0.36675889441055076,0.0010618889087118388,0.0003894572021459803,1,0.3971100156
voluntas,0.418272513512844,0.003090566816204565,0.0012926991503932712,1,0.1447367667
