target,score,binary_gold,graded_gold,period1_occurrences,period2_occurrences
acerbus,0.0022076054852566696,0,0.1693673835,145,339
adsumo,0.00532035322592872,1,0.3426155432,42,276
ancilla,0.007925578934945166,0,0.0,96,487
beatus,0.019562315591607038,1,0.8163922034,335,2730
civitas,0.0032027230820836916,1,0.3223921129,1656,6033
cohors,0.004878043181672176,1,0.2808297773,291,1009
consilium,0.0015134781333200342,0,0.1029324115,1747,4644
consul,0.0016898538529335205,1,0.1298862845,3952,2485
credo,0.00145916991811057,1,0.3709916364,1648,8498
dolus,0.002399648457435899,1,0.1766816718,106,646
dubius,0.002144301031950624,1,0.3376228368,416,1981
dux,0.0026250123841454753,1,0.2890535167,901,4832
fidelis,0.008016456965457608,0,0.1704388616,127,2626
honor,0.005078328726614401,0,0.2903727542,871,4829
hostis,0.001401021896494048,0,0.0,3031,5836
humanitas,0.0032284145532547326,1,0.4556706869,119,532
imperator,0.08760003792796811,1,0.8468161173,714,10591
itero,0.006327814860931258,0,0.0396779613,32,242
jus,0.0029931968005668663,1,0.3500992804,1187,6530
licet,0.0032609026436082322,1,0.5068183365,876,5900
necessarius,0.0009752835099413604,0,0.0951901928,398,2879
nepos,0.005073411714387688,1,0.3648834753,68,1140
nobilitas,0.001576010421518892,0,0.1816060253,181,636
oportet,0.0027260906491146653,0,0.1024923185,1252,3270
poena,0.0013674146519305763,0,0.2309060175,430,3675
pontifex,0.014420516270998829,1,0.9056003337,133,1409
potestas,0.0022699952259412903,1,0.5484747156,900,3766
regnum,0.0014779681305567838,1,0.3555745686,679,6747
sacramentum,0.011659207772729552,1,0.6880403726,40,1627
salus,0.003122374155882568,0,0.4695031831,653,3330
sanctus,0.013379208911784679,1,0.4252031494,179,9485
sapientia,0.0027155412611883367,0,0.2346805855,297,2338
scriptura,0.012751257261302884,1,0.5166518174,25,1471
senatus,0.0013251836794397898,1,0.2647726983,2585,2203
sensus,0.0013913299699267467,1,0.393509813,423,3403
simplex,0.00155698246153535,0,0.0095403039,141,2062
templum,0.002259218544726882,1,0.3701840194,427,2844
titulus,0.006323465282416452,1,0.6197974828,44,1497
virtus,0.0010618889087118388,1,0.3971100156,1605,5147
voluntas,0.003090566816204565,1,0.1447367667,517,3023
