target,score,binary_gold,graded_gold
attack_nn,0.37573219184673246,1,0.1439699927
bag_nn,0.32767925629406247,0,0.1003636619
ball_nn,0.5499178517603435,0,0.4093665525
bit_nn,0.42383914640376785,1,0.3065766263
chairman_nn,0.4419466822293533,0,0.0
circle_vb,0.38510973292411277,1,0.1710871199
contemplation_nn,0.38319984112025995,0,0.070838721
donkey_nn,0.405958014634233,0,0.1601038896
edge_nn,0.37273248805602466,1,0.2609655868
face_nn,0.26912871609691746,0,0.137791275
fiction_nn,0.28901946651935817,0,0.0207232682
gas_nn,0.454503259993403,0,0.1595695865
graft_nn,0.4921725101034632,1,0.5539755971
head_nn,0.2912566877939776,1,0.2952561247
land_nn,0.37413081548754434,1,0.2234476353
lane_nn,0.4435661537960084,0,0.1037200629
lass_nn,0.3953569272589931,1,0.2125896937
multitude_nn,0.40468524923139637,0,0.1003636619
ounce_nn,0.21425056797534003,0,0.2848990681
part_nn,0.3577247447077204,0,0.161270809
pin_vb,0.35981817968692575,0,0.2072118595
plane_nn,0.7744833159393079,1,0.8823475834
player_nn,0.4708948210117656,1,0.2736674651
prop_nn,0.6267302237162333,1,0.624759971
quilt_nn,0.38691343354416197,0,0.1231453661
rag_nn,0.3083736552391316,1,0.2765152931
record_nn,0.5831473320112711,1,0.4273504707
relationship_nn,0.3719781596226329,0,0.0562177896
risk_nn,0.4294176485330823,0,0.0
savage_nn,0.4222465958077378,0,0.0968689424
stab_nn,0.4054093694007127,1,0.4005896829
stroke_vb,0.3032831323375864,0,0.1762311532
thump_nn,0.39319489891813975,1,0.1429915711
tip_vb,0.48790400855720095,1,0.6788987615
tree_nn,0.2823751445912531,0,0.070838721
twist_nn,0.5137608361265485,0,0.3984926634
word_nn,0.28466938552852694,0,0.1793071623
