target,score,binary_gold,graded_gold,period1_occurrences,period2_occurrences,sampled_occurrences,matched_pairs
abbauen,0.03761448821083444,,0.7401151347,61,1178,61,61
abdecken,0.04065270607288067,,0.6068844591,52,366,52,52
abgebrüht,0.04371429530401078,,0.8326453924,63,105,63,63
Abgesang,0.04489466468844794,,0.5785479359,130,113,113,113
Ackergerät,0.02554301045975595,,0.0,53,106,53,53
Armenhaus,0.041378716826438906,,0.5196696949,100,126,100,100
artikulieren,0.03246956356501175,,0.6157433577,59,220,59,59
aufrechterhalten,0.02077748989447569,,0.0361091146,39,1170,39,39
Ausnahmegesetz,0.028023654016955144,,0.0931384151,58,170,58,58
ausspannen,0.04293712118799372,,0.7066899149,265,129,129,129
beimischen,0.035874839623769125,,0.3073585686,251,120,120,120
Dynamik,0.04247225769634905,,0.5788446287,58,678,58,58
Einreichung,0.029342216664347155,,0.0,58,140,58,58
Eintagsfliege,0.02482134312914129,,0.6600603105,57,137,57,57
Engpaß,0.034344246474708,,0.8199567418,82,301,82,82
Entscheidung,0.04231124107376261,,0.1416813614,3958,8561,3958,3958
Festspiel,0.03527273734410604,,0.1003636619,48,704,48,48
Frechheit,0.028932734199290006,,0.070838721,358,212,212,212
Fuß,0.06857022468159131,,0.5646330712,30495,3714,3714,3714
Gesichtsausdruck,0.01815437912940979,,0.0773181227,100,157,100,100
Knotenpunkt,0.04222918028055236,,0.6476267431,354,215,215,215
Kubikmeter,0.03360557120020797,,0.0,123,1903,123,123
Lyzeum,0.030583030329300806,,0.1263811851,104,118,104,104
Manschette,0.03718112866083781,,0.3558015707,75,125,75,75
Mißklang,0.028294652138116223,,0.3797233207,53,107,53,53
Mulatte,0.038833152117400335,,0.0,139,116,116,116
Naturschönheit,0.024981192788299248,,0.071560565,98,130,98,98
Ohrwurm,0.03647592261030867,,0.8324505396,37,103,37,37
Pachtzins,0.029389905623900585,,0.0,39,103,39,39
packen,0.02568944916663587,,0.4622525393,1792,1394,1394,1394
Rezeption,0.036826906763777444,,0.4649888284,98,152,98,98
Schmiere,0.038968494092976605,,0.4376712892,108,118,108,108
Seminar,0.06028000618282117,,0.0644862175,190,1972,190,190
Sensation,0.03454210631240755,,0.4061442791,169,637,169,169
Spielball,0.03597563909272016,,0.1032900719,59,176,59,59
Tier,0.03512934961443575,,0.0734663698,30361,4286,4286,4286
Titel,0.05113389829951009,,0.3930452262,3556,8622,3556,3556
Tragfähigkeit,0.031097532772436376,,0.1146939033,82,325,82,82
Truppenteil,0.0277164869365238,,0.0,168,628,168,168
überspannen,0.03545162851447301,,0.2520655248,151,194,151,151
Unentschlossenheit,0.017172335009825856,,0.0,76,129,76,76
verbauen,0.04169892819959726,,0.5781250765,67,209,67,67
vergönnen,0.02696488950310684,,0.0711968986,702,205,205,205
voranstellen,0.028948430504117693,,0.1241915484,154,194,154,154
vorliegen,0.0357669268976015,,0.1902660258,1843,1436,1436,1436
vorweisen,0.03208262439983994,,0.1268370977,67,371,67,67
weitgreifend,0.02603178471326828,,0.0,64,103,64,64
zersetzen,0.03839101431504736,,0.5058797106,677,212,212,212
