target,score,amd_p1_to_p2,amd_p2_to_p1,binary_gold,graded_gold,period1_occurrences,period2_occurrences
abbauen,0.027482361801097005,0.021844414682947372,0.03312030891924664,1.0,0.7401151347,59,1186
abdecken,0.027572582883921243,0.024009840182987494,0.031135325584854993,1.0,0.6068844591,53,391
abgebrüht,0.027652790267849656,0.028858352553775155,0.026447227981924157,0.0,0.8326453924,63,105
Abgesang,0.030279267936005015,0.03153960902098397,0.029018926851026063,1.0,0.5785479359,119,111
Ackergerät,0.020092820298338664,0.019769084190279264,0.020416556406398063,0.0,0.0,53,106
Armenhaus,0.024791082897121564,0.025744883904045873,0.02383728189019725,0.0,0.5196696949,92,126
artikulieren,0.022614746118530198,0.021596110582495057,0.023633381654565334,1.0,0.6157433577,59,221
aufrechterhalten,0.014440802543179754,0.013162867300026231,0.015718737786333276,0.0,0.0361091146,44,1176
Ausnahmegesetz,0.021435078213876753,0.020381880076983258,0.022488276350770248,0.0,0.0931384151,58,169
ausspannen,0.028958920558479023,0.029651586394282274,0.02826625472267577,1.0,0.7066899149,264,128
beimischen,0.027086014250511027,0.030099718899112178,0.024072309601909873,0.0,0.3073585686,251,122
Dynamik,0.02702817508847258,0.02351141692300126,0.030544933253943904,1.0,0.5788446287,55,673
Einreichung,0.022198192132135735,0.021590498396490305,0.022805885867781164,0.0,0.0,58,137
Eintagsfliege,0.016419106300771848,0.016164722430196028,0.016673490171347664,0.0,0.6600603105,56,137
Engpaß,0.023068544070936094,0.02273848721106316,0.023398600930809022,1.0,0.8199567418,81,300
Entscheidung,0.027490365928886058,0.026129815527575484,0.02885091633019663,0.0,0.1416813614,3810,8434
Festspiel,0.02345022041974558,0.021099892031462553,0.02580054880802861,0.0,0.1003636619,48,695
Frechheit,0.020091155850348368,0.02155689318942227,0.018625418511274465,0.0,0.070838721,355,212
Fuß,0.025678591211968197,0.029069736347364362,0.022287446076572032,0.0,0.5646330712,25924,3702
Gesichtsausdruck,0.01303658166750338,0.012755688294389066,0.013317475040617692,0.0,0.0773181227,100,157
Knotenpunkt,0.023802097034092362,0.026224961560393743,0.021379232507790984,1.0,0.6476267431,300,213
Kubikmeter,0.017424732974357454,0.016898709926780962,0.017950756021933943,0.0,0.0,106,1776
Lyzeum,0.02232539236638533,0.02440659825345664,0.020244186479314023,0.0,0.1263811851,97,117
Manschette,0.026971277339432283,0.0255869292252113,0.02835562545365327,1.0,0.3558015707,72,124
Mißklang,0.020413698670747053,0.021587664901658598,0.019239732439835507,1.0,0.3797233207,53,107
Mulatte,0.027497309136936487,0.029354414695558485,0.02564020357831449,0.0,0.0,138,116
Naturschönheit,0.017880080942664127,0.01828824105626051,0.017471920829067743,0.0,0.071560565,97,130
Ohrwurm,0.025562175047324397,0.02732899734199824,0.023795352752650555,1.0,0.8324505396,37,103
Pachtzins,0.021211770501253627,0.02040989785718084,0.02201364314532641,0.0,0.0,38,103
packen,0.017604949553266396,0.017475095865543154,0.01773480324098964,1.0,0.4622525393,1828,1455
Rezeption,0.02782279520841046,0.026885532362887016,0.028760058053933907,1.0,0.4649888284,96,152
Schmiere,0.024887122632332278,0.02618373129699178,0.023590513967672776,1.0,0.4376712892,90,117
Seminar,0.03811154595523084,0.03706949662846096,0.03915359528200073,0.0,0.0644862175,180,1902
Sensation,0.024920328162295682,0.027172858990827994,0.022667797333763375,1.0,0.4061442791,173,632
Spielball,0.0252847853064979,0.02336232861580394,0.027207241997191864,0.0,0.1032900719,57,176
Tier,0.023961472917463734,0.024689437913471144,0.02323350792145633,0.0,0.0734663698,28599,4223
Titel,0.03554133218740138,0.035602205470602,0.03548045890420076,0.0,0.3930452262,3435,8514
Tragfähigkeit,0.019449736622115337,0.01962121593664122,0.019278257307589454,0.0,0.1146939033,81,320
Truppenteil,0.018282988755057857,0.01728844104216261,0.019277536467953105,0.0,0.0,151,617
überspannen,0.02655069672245087,0.027707683458556998,0.025393709986344742,1.0,0.2520655248,152,194
Unentschlossenheit,0.01254306217817315,0.012617298544412747,0.012468825811933553,0.0,0.0,76,129
verbauen,0.030576823326631666,0.028382568325822956,0.032771078327440376,1.0,0.5781250765,67,212
vergönnen,0.018518673877243427,0.021261348015794046,0.015775999738692807,0.0,0.0711968986,699,205
voranstellen,0.02288256853574273,0.02383182829421184,0.02193330877727362,0.0,0.1241915484,160,194
vorliegen,0.025900721658631082,0.02684500955337865,0.02495643376388351,0.0,0.1902660258,1854,1473
vorweisen,0.02255077076310657,0.02105876589503519,0.02404277563117795,0.0,0.1268370977,67,370
weitgreifend,0.021532790791385783,0.021456262622052972,0.021609318960718594,0.0,0.0,64,103
zersetzen,0.027007867551965103,0.029090989022844824,0.02492474608108538,0.0,0.5058797106,689,213
