target,score,amd_p1_to_p2,amd_p2_to_p1,binary_gold,graded_gold,period1_occurrences,period2_occurrences
acerbus,0.021183365282947803,0.019774624768563315,0.02259210579733229,0.0,0.1693673835,144,339
adsumo,0.01854652060241832,0.0158553524620323,0.02123768874280434,1.0,0.3426155432,42,274
ancilla,0.024763255210161157,0.021794237556222215,0.027732272864100103,0.0,0.0,95,450
beatus,0.020129840825176725,0.01661796059532541,0.02364172105502804,1.0,0.8163922034,305,2593
civitas,0.016361357886988125,0.014917692878183944,0.017805022895792305,1.0,0.3223921129,1528,5513
cohors,0.016193094974254967,0.01503656521950653,0.017349624729003404,1.0,0.2808297773,279,967
consilium,0.02195952832485248,0.020813993929109233,0.023105062720595728,0.0,0.1029324115,1664,4460
consul,0.024544711645126036,0.024069283140995698,0.025020140149256374,1.0,0.1298862845,3488,2328
credo,0.025433808471873535,0.023162658960893284,0.027704957982853787,1.0,0.3709916364,1586,8118
dolus,0.022663069983996965,0.020361951880041376,0.024964188087952553,1.0,0.1766816718,101,640
dubius,0.014771837586057657,0.01265603695973909,0.016887638212376224,1.0,0.3376228368,407,1959
dux,0.01659000072647507,0.01515613327013619,0.018023868182813953,1.0,0.2890535167,871,4685
fidelis,0.014528033564655589,0.011767858928498744,0.017288208200812432,0.0,0.1704388616,125,2537
honor,0.03047507878606789,0.02772483828375224,0.03322531928838354,0.0,0.2903727542,832,4709
hostis,0.012802820871788407,0.012159590377615378,0.013446051365961435,0.0,0.0,2822,5501
humanitas,0.01966472256793748,0.017884480440464763,0.0214449646954102,1.0,0.4556706869,120,522
imperator,0.02435885704680217,0.022265763068244075,0.026451951025360264,1.0,0.8468161173,684,10347
itero,0.026653350876440086,0.022715084921179334,0.030591616831700835,0.0,0.0396779613,32,241
jus,0.03348067852900517,0.0303207995026069,0.03664055755540344,1.0,0.3500992804,1074,5909
licet,0.025544796290160474,0.02341080832887456,0.02767878425144639,1.0,0.5068183365,832,5670
necessarius,0.01707573126280871,0.01525632484036717,0.018895137685250248,0.0,0.0951901928,386,2735
nepos,0.021074120795525744,0.017395154716437263,0.02475308687461423,1.0,0.3648834753,65,1077
nobilitas,0.01854037372015235,0.01713020339168948,0.01995054404861522,0.0,0.1816060253,174,606
oportet,0.024272111518959347,0.02290729179735877,0.02563693124055992,0.0,0.1024923185,1180,3218
poena,0.026578381617537693,0.023298778904607836,0.02985798433046755,0.0,0.2309060175,420,3474
pontifex,0.015617138660868005,0.01371618094504566,0.01751809637669035,1.0,0.9056003337,122,1348
potestas,0.01575949569861685,0.014165500780662393,0.017353490616571307,1.0,0.5484747156,852,3533
regnum,0.022565694732057343,0.019491385847969243,0.02564000361614544,1.0,0.3555745686,633,6182
sacramentum,0.015005480671800922,0.011238160216444805,0.01877280112715704,1.0,0.6880403726,39,1542
salus,0.016358509682314608,0.014751897870922922,0.017965121493706295,0.0,0.4695031831,624,3255
sanctus,0.032097908008154506,0.025712602567747624,0.03848321344856139,1.0,0.4252031494,178,8482
sapientia,0.025766358979601695,0.02329710319047403,0.02823561476872936,0.0,0.2346805855,287,2136
scriptura,0.019969159977224326,0.01539268455204521,0.02454563540240344,1.0,0.5166518174,25,1409
senatus,0.010395845831515909,0.010322521603189612,0.010469170059842206,1.0,0.2647726983,2314,2110
sensus,0.013166926742458595,0.011335456998984727,0.014998396485932463,1.0,0.393509813,384,3208
simplex,0.0198532601948063,0.01651605670715288,0.023190463682459722,0.0,0.0095403039,134,1903
templum,0.011562079221430755,0.010375401074155978,0.012748757368705534,1.0,0.3701840194,402,2674
titulus,0.021893606678287877,0.01680387157108232,0.026983341785493435,1.0,0.6197974828,45,1460
virtus,0.013907672910684784,0.0127600971782555,0.01505524864311407,1.0,0.3971100156,1439,4791
voluntas,0.01790767143876741,0.016083614501748587,0.019731728375786236,1.0,0.1447367667,506,2754
