target,score,binary_gold,graded_gold,period1_occurrences,period2_occurrences,sampled_occurrences,matched_pairs
attack_nn,0.04861463822664753,,0.1439699927,248,370,248,248
bag_nn,0.07686656713485718,,0.1003636619,14,22,14,14
ball_nn,0.10005003213882446,,0.4093665525,7,34,7,7
bit_nn,0.05156846927559894,,0.3065766263,46,456,46,46
chairman_nn,0.030130648612976076,,0.0,5,5,5,5
circle_vb,0.03461952270431952,,0.1710871199,540,528,528,528
edge_nn,0.08559992767515637,,0.2609655868,21,73,21,21
face_nn,0.07003650573140757,,0.137791275,207,1131,207,207
graft_nn,0.05850816766421,,0.5539755971,33,18,18,18
head_nn,0.0789802610874176,,0.2952561247,150,839,150,150
land_nn,0.05392529991746859,,0.2234476353,262,425,262,262
lane_nn,0.050092995166778564,,0.1037200629,2,3,2,2
part_nn,0.08124427852176484,,0.161270809,974,441,441,441
pin_vb,0.05427711743574876,,0.2072118595,78,131,78,78
plane_nn,0.09884898364543915,,0.8823475834,4,12,4,4
prop_nn,0.1027254581451416,,0.624759971,20,110,20,20
quilt_nn,0.03668680787086487,,0.1231453661,10,10,10,10
rag_nn,0.11028662323951721,,0.2765152931,2,4,2,2
record_nn,0.06079985878684304,,0.4273504707,253,276,253,253
risk_nn,0.05538233896581138,,0.0,82,169,82,82
savage_nn,0.038083284309035854,,0.0968689424,307,76,76,76
stab_nn,0.07857737779617309,,0.4005896829,50,83,50,50
stroke_vb,0.0700405928311427,,0.1762311532,181,198,181,181
thump_nn,0.04920886064830579,,0.1429915711,19,58,19,19
tip_vb,0.07993277426688902,,0.6788987615,31,285,31,31
tree_nn,0.10145002603530884,,0.070838721,2,2,2,2
twist_nn,0.062323079938473906,,0.3984926634,115,332,115,115
word_nn,0.08426000313325362,,0.1793071623,28,11,11,11
