target,score,binary_gold,graded_gold,period1_occurrences,period2_occurrences
attack_nn,0.020310155297560306,1,0.1439699927,701,1203
bag_nn,0.011241062036830618,0,0.1003636619,228,920
ball_nn,0.009631494517815642,0,0.4093665525,444,911
bit_nn,0.05523077736359172,1,0.3065766263,341,1078
chairman_nn,0.022767585065435747,0,0.0,151,687
circle_vb,0.025930991445888396,1,0.1710871199,671,773
contemplation_nn,0.008839670300061497,0,0.070838721,240,110
donkey_nn,0.004863115359003745,0,0.1601038896,118,151
edge_nn,0.0067782324665253135,1,0.2609655868,474,1133
face_nn,0.013886604604349206,0,0.137791275,3589,5062
fiction_nn,0.014706328355884146,0,0.0207232682,202,326
gas_nn,0.017687828301523933,0,0.1595695865,155,683
graft_nn,0.04631378823143362,1,0.5539755971,151,127
head_nn,0.01281754402280233,1,0.2952561247,3733,4960
land_nn,0.01458292981630116,1,0.2234476353,2577,2048
lane_nn,0.014089114831157823,0,0.1037200629,212,292
lass_nn,0.007336285326423941,1,0.2125896937,111,106
multitude_nn,0.01298061587323085,0,0.1003636619,473,131
ounce_nn,0.02304456060889304,0,0.2848990681,207,187
part_nn,0.015966368937183617,0,0.161270809,5370,3653
pin_vb,0.01245597989782754,0,0.2072118595,192,348
plane_nn,0.10862181207410504,1,0.8823475834,272,804
player_nn,0.019176594616664988,1,0.2736674651,132,940
prop_nn,0.056064680027350544,1,0.624759971,141,256
quilt_nn,0.017870288383417088,0,0.1231453661,116,199
rag_nn,0.008448048621976012,1,0.2765152931,160,211
record_nn,0.037663268731245925,1,0.4273504707,671,1460
relationship_nn,0.01926122342312908,0,0.0562177896,130,841
risk_nn,0.026429478861788258,0,0.0,367,811
savage_nn,0.008718343956449992,0,0.0968689424,808,209
stab_nn,0.017131959857765056,1,0.4005896829,141,200
stroke_vb,0.04231863624615584,0,0.1762311532,291,423
thump_nn,0.015950976158753738,1,0.1429915711,109,185
tip_vb,0.045496724663450894,1,0.6788987615,148,526
tree_nn,0.005746376070315584,0,0.070838721,2316,1595
twist_nn,0.017408505093737703,0,0.3984926634,216,518
word_nn,0.005832424719997786,0,0.1793071623,4396,3177
