target,score,binary_gold,graded_gold,period1_occurrences,period2_occurrences
abbauen,0.025656660914288643,1,0.7401151347,61,1178
abdecken,0.017334414312424995,1,0.6068844591,52,366
abgebrüht,0.06491682588083736,0,0.8326453924,63,106
Abgesang,0.021979343871354584,1,0.5785479359,131,113
Ackergerät,0.004794293857881549,0,0.0,53,105
Armenhaus,0.022146098661288027,0,0.5196696949,100,126
artikulieren,0.02182496134483214,1,0.6157433577,59,220
aufrechterhalten,0.010464380187570566,0,0.0361091146,40,1171
Ausnahmegesetz,0.005928733015087118,0,0.0931384151,58,170
ausspannen,0.01808114070979927,1,0.7066899149,265,129
beimischen,0.008857047828559783,0,0.3073585686,252,120
Dynamik,0.02127732655576542,1,0.5788446287,60,678
Einreichung,0.011316951856979895,0,0.0,58,140
Eintagsfliege,0.04406769473143535,0,0.6600603105,57,137
Engpaß,0.03350880172964743,1,0.8199567418,82,301
Entscheidung,0.008371664282425306,0,0.1416813614,3970,8566
Festspiel,0.012391078978609693,0,0.1003636619,48,703
Frechheit,0.0056443469772006205,0,0.070838721,359,212
Fuß,0.05398828741158779,0,0.5646330712,30572,3714
Gesichtsausdruck,0.004790667082862354,0,0.0773181227,100,157
Knotenpunkt,0.0386455246189229,1,0.6476267431,355,215
Kubikmeter,0.020521536709810162,0,0.0,123,1903
Lyzeum,0.010918685269392547,0,0.1263811851,104,118
Manschette,0.005276101024478397,1,0.3558015707,77,125
Mißklang,0.01771791865465211,1,0.3797233207,53,107
Mulatte,0.008953900765473533,0,0.0,139,116
Naturschönheit,0.009893032366595111,0,0.071560565,98,130
Ohrwurm,0.04743299410491375,1,0.8324505396,37,103
Pachtzins,0.005903191600584057,0,0.0,39,103
packen,0.007176768910655107,1,0.4622525393,1800,1394
Rezeption,0.012406229732893626,1,0.4649888284,98,152
Schmiere,0.01810230306858207,1,0.4376712892,108,118
Seminar,0.024869126236272243,0,0.0644862175,192,1972
Sensation,0.015708824620000006,1,0.4061442791,169,637
Spielball,0.02582283803022989,0,0.1032900719,59,176
Tier,0.008510061240065703,0,0.0734663698,30434,4271
Titel,0.015986127310823273,0,0.3930452262,3564,8624
Tragfähigkeit,0.018760344241792626,0,0.1146939033,82,324
Truppenteil,0.011059347581107715,0,0.0,168,630
überspannen,0.014792910838575257,1,0.2520655248,152,194
Unentschlossenheit,0.0042535641013286,0,0.0,76,130
verbauen,0.02106584861140015,1,0.5781250765,67,209
vergönnen,0.015597920660897935,0,0.0711968986,703,205
voranstellen,0.010750848134324253,0,0.1241915484,155,194
vorliegen,0.011344089349030528,0,0.1902660258,1853,1436
vorweisen,0.016123939537374232,0,0.1268370977,68,371
weitgreifend,0.00687742412383574,0,0.0,64,103
zersetzen,0.02275885000539246,0,0.5058797106,681,212
