target,score,binary_gold,graded_gold,period1_occurrences,period2_occurrences
attack_nn,0.03608789026952944,1.0,0.1439699927,248,370
bag_nn,0.024592834514844786,0.0,0.1003636619,14,22
ball_nn,0.12997434310327252,0.0,0.4093665525,7,34
bit_nn,0.07279214468826477,1.0,0.3065766263,46,456
chairman_nn,0.3112386795830575,0.0,0.0,5,5
circle_vb,0.06746575940254099,1.0,0.1710871199,540,528
edge_nn,0.08358781874383267,1.0,0.2609655868,21,73
face_nn,0.10991180459508812,0.0,0.137791275,207,1131
graft_nn,0.3074974235313135,1.0,0.5539755971,33,18
head_nn,0.12087028767047307,1.0,0.2952561247,150,839
land_nn,0.01192966794359809,1.0,0.2234476353,262,425
lane_nn,0.6931471805599452,0.0,0.1037200629,2,3
part_nn,0.07908513120232111,0.0,0.161270809,974,441
pin_vb,0.023249621778287884,0.0,0.2072118595,78,131
plane_nn,0.22528060443315237,1.0,0.8823475834,4,12
prop_nn,0.09772597762574854,1.0,0.624759971,20,110
quilt_nn,0.03879598414901267,0.0,0.1231453661,10,10
rag_nn,0.6931471805599452,1.0,0.2765152931,2,4
record_nn,0.033426381017923196,1.0,0.4273504707,253,276
risk_nn,0.05610356867486681,0.0,0.0,82,169
savage_nn,0.08437876226407318,0.0,0.0968689424,307,76
stab_nn,0.016162582194273314,1.0,0.4005896829,50,83
stroke_vb,0.10457123804212952,0.0,0.1762311532,181,198
thump_nn,0.1092976256649237,1.0,0.1429915711,19,58
tip_vb,0.1391545698409783,1.0,0.6788987615,31,285
twist_nn,0.07245970890543219,0.0,0.3984926634,115,332
word_nn,0.15064736947108665,0.0,0.1793071623,28,11
