target,score,binary_gold,graded_gold,period1_occurrences,period2_occurrences
aktiv,0.05886707290390569,0,0.087075209,119,1448
annandag,0.01244409408519298,0,0.070838721,750,2029
antyda,0.026758173872311275,0,0.1432248866,2965,3643
bearbeta,0.02287273920421895,0,0.2435567709,246,1640
bedömande,0.015961401838238243,0,0.0004433847,121,1415
beredning,0.011976406736642353,0,0.2637097458,748,2037
blockera,0.035727470248403836,0,0.1595695865,728,235
bolagsstämma,0.03496933274776004,0,0.0,1239,12465
bröllop,0.013587514951786006,0,0.070838721,255,4698
by,0.013557460760184381,0,0.0746856336,6849,15316
central,0.04834988343327884,0,0.1224274985,122,3978
färg,0.02438251192870966,0,0.1634208723,6984,14976
förhandling,0.016825333663761377,0,0.0022177463,93,9028
gagn,0.08177612631547027,0,0.0711968986,844,3650
granskare,0.0249920546865654,1,0.3196119552,206,89
kemisk,0.08124036660869849,0,0.1009077432,106,3895
kokärt,0.04108327330000172,0,0.0,166,197
konduktör,0.014596153143018764,1,0.2476350962,101,1889
krita,0.044752562260422124,1,0.4427643573,468,375
ledning,0.03124695148783163,1,0.3378682202,1325,13286
medium,0.02480982131189613,1,0.6035538174,691,517
motiv,0.03052915973303838,1,0.3530276962,143,2697
notis,0.013625449265755707,0,0.2122130677,235,4689
studie,0.04846935342770309,0,0.0704426316,888,3713
undertrycka,0.00844862148648462,0,0.1667465563,244,1618
uppfattning,0.07131347582035175,1,0.1954346065,81,8971
uppfostran,0.03536576893558285,0,0.0,5014,3379
uppläggning,0.021002913583512473,1,0.2930397585,163,195
uträtta,0.01140591800353774,0,0.0,2799,3733
vaktmästare,0.01120415659258056,0,0.0,161,2676
vegetation,0.022564101354646593,0,0.0,154,312
